lg_col_mass,Temperature,Ne,V,Vturb
-4.93574095,100000.0,12518910000.0,0.0,10.68096
-4.9356246,95600.0,13042930000.0,0.0,10.61132
-4.93550158,90820.0,13663480000.0,0.0,10.53191
-4.93532753,83890.0,14674640000.0,0.0,10.40904
-4.93513727,75930.0,16037070000.0,0.0,10.25485
-4.93503189,71340.0,16947660000.0,0.0,10.15883
-4.9349184,66150.0,18116890000.0,0.0,10.04315
-4.934793,60170.0,19695500000.0,0.0,9.899261
-4.9346571,53280.0,21928290000.0,0.0,9.717166
-4.93458509,49390.0,23446330000.0,0.0,9.614243
-4.93451309,45420.0,25237850000.0,0.0,9.506225
-4.9344368,41180.0,27487320000.0,0.0,9.380583
-4.93435478,36590.0,30435950000.0,0.0,9.230186
-4.93426752,32150.0,33941130000.0,0.0,9.065828
-4.93417501,27970.0,38041510000.0,0.0,8.889256
-4.93407583,24060.0,42911770000.0,0.0,8.700418
-4.93394947,20420.0,48608360000.0,0.0,8.494678
-4.93383646,17930.0,53375480000.0,0.0,8.342731
-4.93373585,16280.0,57004960000.0,0.0,8.234054
-4.93359184,14520.0,61372260000.0,0.0,8.10573
-4.93341446,13080.0,65200940000.0,0.0,7.98737
-4.93324804,12190.0,67471610000.0,0.0,7.905294
-4.93304968,11440.0,69184660000.0,0.0,7.82944
-4.93279409,10850.0,69917620000.0,0.0,7.762707
-4.9324131,10340.0,69678010000.0,0.0,7.696761
-4.93190384,9983.0,68486730000.0,0.0,7.642009
-4.93113708,9735.0,65992620000.0,0.0,7.591289
-4.93013287,9587.0,62650750000.0,0.0,7.547351
-4.92838764,9458.0,58015400000.0,0.0,7.492713
-4.92132998,9358.0,58411430000.0,0.0,7.452542
-4.90772057,9228.0,61419420000.0,0.0,7.399466
-4.87617874,8988.0,66516160000.0,0.0,7.268274
-4.82721663,8635.0,71686470000.0,0.0,7.044414
-4.76904154,8273.0,75617580000.0,0.0,6.82316
-4.70482588,7970.0,78464230000.0,0.0,6.614389
-4.64561558,7780.0,80953570000.0,0.0,6.431674
-4.56636095,7600.0,84451000000.0,0.0,6.207403
-4.45723915,7410.0,88383770000.0,0.0,5.932102
-4.31962919,7220.0,91856730000.0,0.0,5.590575
-4.18329859,7080.0,96129620000.0,0.0,5.296849
-4.00349617,6910.0,103189700000.0,0.0,4.926045
-3.8015883,6740.0,113770600000.0,0.0,4.504405
-3.60500216,6570.0,122087300000.0,0.0,4.0603
-3.37798548,6370.0,128011700000.0,0.0,3.552633
-3.1405015,6180.0,134090700000.0,0.0,3.053286
-2.88156867,5950.0,130823700000.0,0.0,2.595622
-2.67674541,5760.0,122986700000.0,0.0,2.254545
-2.49282169,5570.0,111165900000.0,0.0,2.000838
-2.33261061,5380.0,97421370000.0,0.0,1.77223
-2.1647985,5160.0,83632940000.0,0.0,1.533542
-1.98761845,4900.0,75440270000.0,0.0,1.368657
-1.78171456,4680.0,91148730000.0,0.0,1.168133
-1.58602309,4560.0,130789000000.0,0.0,0.9947371
-1.42560005,4520.0,181818700000.0,0.0,0.8897392
-1.28381574,4500.0,244101700000.0,0.0,0.8043894
-1.14168072,4510.0,329435800000.0,0.0,0.7225354
-0.979987085,4540.0,464893000000.0,0.0,0.6536559
-0.780323803,4610.0,716724800000.0,0.0,0.5555816
-0.583481908,4690.0,1099721000000.0,0.0,0.5217747
-0.389997512,4780.0,1680047000000.0,0.0,0.5728015
-0.200394467,4880.0,2557346000000.0,0.0,0.6274118
-0.0152082862,4990.0,3880555000000.0,0.0,0.8043706
0.07598304,5060.0,4803401000000.0,0.0,0.8929698
0.165459096,5150.0,5984860000000.0,0.0,0.995005
0.252803594,5270.0,7584832000000.0,0.0,1.093189
0.337693125,5410.0,9816085000000.0,0.0,1.195529
0.419847399,5580.0,13293380000000.0,0.0,1.29188
0.498901486,5790.0,19505190000000.0,0.0,1.395714
0.544588983,5980.0,27490410000000.0,0.0,1.448816
0.588704407,6180.0,40282440000000.0,0.0,1.506637
0.617215991,6340.0,54568580000000.0,0.0,1.541506
0.644935131,6520.0,76413400000000.0,0.0,1.579327
0.671832442,6720.0,109980000000000.0,0.0,1.621151
0.697803915,6980.0,171922600000000.0,0.0,1.651916
0.722732782,7280.0,278948700000000.0,0.0,1.677151
0.746601224,7590.0,444696700000000.0,0.0,1.696164
0.769470692,7900.0,686966700000000.0,0.0,1.716951
0.791397929,8220.0,1041290000000000.0,0.0,1.733641
0.812412739,8540.0,1531806000000000.0,0.0,1.746632
0.832580209,8860.0,2194603000000000.0,0.0,1.760494
0.852005064,9140.0,2952398000000000.0,0.0,1.785877
0.870782733,9400.0,3831726000000000.0,0.0,1.806787
