lg_col_mass,Temperature,Ne,V,Vturb,rho,P_gas,z_height_cm,z_height_km
-4.93574095,100000.0,12518910000.0,0.0,10.68096,2.4631642647152667e-14,3.3165617990655405e-08,131663979.13696952,1316.639791369695
-4.9356246,95600.0,13042930000.0,0.0,10.61132,2.576944970946858e-14,3.309931412413847e-08,131540637.20796824,1315.4063720796823
-4.93550158,90820.0,13663480000.0,0.0,10.53191,2.7131016570239412e-14,3.3019748494101886e-08,131416332.77522027,1314.1633277522028
-4.93532753,83890.0,14674640000.0,0.0,10.40904,2.937833571881627e-14,3.288687903006694e-08,131251489.11770508,1312.5148911770507
-4.93513727,75930.0,16037070000.0,0.0,10.25485,3.2464404905076484e-14,3.270546702644745e-08,131086614.09031521,1310.866140903152
-4.93503189,71340.0,16947660000.0,0.0,10.15883,3.4547199701579714e-14,3.258331892304142e-08,131002437.94603406,1310.0243794603407
-4.9349184,66150.0,18116890000.0,0.0,10.04315,3.7234082580507714e-14,3.24267043564023e-08,130917749.17133915,1309.1774917133916
-4.934793,60170.0,19695500000.0,0.0,9.899261,4.087291099819846e-14,3.221840179023157e-08,130831661.44744283,1308.3166144744282
-4.9346571,53280.0,21928290000.0,0.0,9.717166,4.59895512034495e-14,3.192926920182978e-08,130747634.71097738,1307.4763471097738
-4.93458509,49390.0,23446330000.0,0.0,9.614243,4.9456989975384704e-14,3.173744065330759e-08,130707192.88539015,1307.0719288539015
-4.93451309,45420.0,25237850000.0,0.0,9.506225,5.356710915316813e-14,3.1513451157818974e-08,130669714.39969663,1306.6971439969664
-4.9344368,41180.0,27487320000.0,0.0,9.380583,5.877626780344169e-14,3.123366591134746e-08,130633270.43454786,1306.3327043454785
-4.93435478,36590.0,30435950000.0,0.0,9.230186,6.568681808273245e-14,3.087220099389128e-08,130597864.99399868,1305.9786499399868
-4.93426752,32150.0,33941130000.0,0.0,9.065828,7.416913769182158e-14,3.0440191565097427e-08,130564316.79091816,1305.6431679091816
